datum,M01AB,M01AE,N02BA,N02BE,N05B,N05C,R03,R06
1/1/2017,49.20375,42.70525,31.52916667,546.899,53.75,6.875,55.25,4.625
1/8/2017,33.6875,30.3825,33.54166667,343.35,62.91666667,3.958333333,47.65625,14.58333333
1/15/2017,48.74583333,34.27541667,60.125,368.4791667,120,5.416666667,31.66666667,12.16666667
1/22/2017,39.45416667,30.46041667,41.5,320.5833333,115.8333333,9.583333333,45.41666667,15.83333333
1/29/2017,43.97083333,42.04583333,44.70833333,298.505,105.8333333,8.333333333,55.41666667,12.70833333
2/5/2017,54.1575,42.41791667,40.70833333,265.8933333,79.33333333,9.166666667,44.33333333,14.43333333
2/12/2017,47.3225,29.09,33.55,146.2,39,3,27,9
2/19/2017,27.33,22.648,11.75,128.05,18,0,18,10.3
2/26/2017,32.67,32.354,32.2,170.7,49.875,2,36,8.2
3/5/2017,46.35,31.48,34.6,134.7,53,4,48,19.5
3/12/2017,37.51,27.736,26.2,171.1,31,7,20,17
3/19/2017,33.99,18.654,19.2,146.1,35,0,25,11
3/26/2017,36.83,29.719,18.85,122,36,0,31,32.1
4/2/2017,28.18,18.389,29,138.4,39,0,20,37.9
4/9/2017,32.66,21.023,23.4,119.1,34,3,47,22.5
4/16/2017,48.66,15.904,18.4,126.65,21,2,58,23.2
4/23/2017,32.3,26.812,27,130.7,38,2,17.875,16
4/30/2017,32.99,31.253,25.7,106.75,33,2,48,45.3
5/7/2017,25.34,27.396,19.05,92.85,30,0,44,25.1
5/14/2017,38.98,23.892,31.95,109.9,36,14,24,40.7
5/21/2017,31.67,31.409,11.2,150.6,32,3,27,39
5/28/2017,32.33,25.58,23.85,129.39,37,0,23,42.01
6/4/2017,31.01,20.991,24.15,137.4,38,9,44,26
6/11/2017,30.49,30.596,27.25,122.95,37,0,37,38.7
6/18/2017,21.66,30.099,14.25,96.45,40,3,40,44.37
6/25/2017,28.16,14.98,22.1,128,31,2,23,34.83
7/2/2017,34.68,22.198,27.75,95.5,41,0,39,31
7/9/2017,35.49,24.249,22.1,110.6,63,1,37,20
7/16/2017,27.67,36.152,14.15,111,41,5,25,13
7/23/2017,41.83,27.196,21.5,117,43,8,31,25
7/30/2017,29.635,21.789,12.2,100.75,52,1,7,13.1
8/6/2017,41.66,17.361,13.25,112.912,41,2,13,17
8/13/2017,20.01,26.372,22,103.788,66,5,12,10.5
8/20/2017,35.82,24.529,24.15,115.85,56,0,20,14.5
8/27/2017,40.65,27.929,12.55,170.75,60,2,23,12
9/3/2017,55.86,27.681,27.7,124.4,48,3,16,14.1
9/10/2017,38.17,32.36,24.8,182.7,44,1,8,21.5
9/17/2017,27,24.063,24.65,152.95,73,3,30,18.4
9/24/2017,39.98,30.489,11.1,219.75,48,7,19,18
10/1/2017,20.67,27.098,17.6,323.05,42,13,98,4
10/8/2017,32.66,22.364,23.5,305.15,48,4,49,12
10/15/2017,33.67,17.809,14.5,222.6,41,3,52,13.5
10/22/2017,29.5,22.792,23,268.9,73,5,44,10
10/29/2017,31.98,14.858,30.4,244.8,48,2,73,12.5
11/5/2017,29.5,31.459,21.05,221.75,35,3,35,12.2
11/12/2017,40.52,25.356,27.45,184.2,44,3,51,8.5
11/19/2017,35.32,28.181,22.9,191.1,40,3,69,8.9
11/26/2017,45.99,31.004,20.5,203.624,64,3,21,7
12/3/2017,38.34,26.156,27.55,218.825,35,3,40,17.5
12/10/2017,27.01,20.066,29.5,215.6,50,1,64,13
12/17/2017,38.51,28.746,24.4,240,53,2,34,12
12/24/2017,24.33,21.46,22.6,168.7,38,0,32,5.6
12/31/2017,50.17,34.038,29.65,302.08,68,3,63,11
1/7/2018,28.33,17.311,11.45,230.2,31,0,39,16
1/14/2018,34.48,30.345,28.1,255.525,52,6,44,6
1/21/2018,36.65,19.624,22.5,226.8,49,2,75,9.5
1/28/2018,25.83,28.967,27.85,306.5,64,0,47,13
2/4/2018,26.98,38.715,26.55,318.1,64,3,34,17.4
2/11/2018,42.18,28.725,31.6,366.95,76,0,71.25,6.66
2/18/2018,31.51,43.618,28.7,338.562,62,1,48,6
2/25/2018,29.35,29.305,28.55,229.1,49,0,70,11
3/4/2018,19.33,20.772,33.2,256.549,115,16,68,14.5
3/11/2018,36.65,29.928,33.75,223.9,91,17,68,16.4
3/18/2018,31.33,21.538,19.65,207.8,77,2,61,24
3/25/2018,28.01,20.736,25.9,241.112,50,3,58,17.5
4/1/2018,43,27.77,20.3,224.724,117,16,51,21.1
4/8/2018,38.85,23.301,22.9,209.525,83,7,60,36.5
4/15/2018,38.83,22.308,23.5,175.7,64,3,52,53.5
4/22/2018,29.84,26.671,10.15,211.025,51,0,28,38.7
4/29/2018,50.67,25.443,25.05,155.912,60,3,66,56.4
5/6/2018,29.01,28.895,18.25,136.737,53,0,26,65
5/13/2018,53.82,24.282,25.15,160.8,66,4,31,51
5/20/2018,27.69,24.286,17,156.8,59,7,47,39.4
5/27/2018,31.16,20.346,24.15,135.786,60,2,31,37
6/3/2018,49.17,20.385,16.85,143.05,59,4,45,41.64
6/10/2018,30.32,26.023,17.45,138.45,61,6,23,24.4
6/17/2018,31.52,31.195,20.6,124.569,57,0,16,30.4
6/24/2018,27.51,29.299,20.75,143.062,45,3,29,32.6
7/1/2018,28.5,23.39,20,125.862,66,5,31,23.4
7/8/2018,30.99,33.31,21.75,136.45,78,3,41,33.5
7/15/2018,33.67,31.353,22.65,189.4,62,9,11,23.4
7/22/2018,33.66,32.057,16.3,165.6,65,2,24,29
7/29/2018,39.53,22.07,17.2,126.9,57,3,4,25.3
8/5/2018,26.34,20.936,18.3,106,58,8,9,29.3
8/12/2018,38.65,27.817,29,147.788,66,2,13,23
8/19/2018,31.32,33.509,16.4,169.85,56,7,28,20
8/26/2018,35.34,30.097,18.55,223.1,44,2,79,24.8
9/2/2018,27.7,17.799,19.5,165.1,54,4,36,17
9/9/2018,34.16,20.522,17.6,223.2,63,0,43,21.7
9/16/2018,40.16,20.918,19.25,253.55,71,6,42,17.4
9/23/2018,33.34,32.186,17.2,222.162,64,3,47,28
9/30/2018,36.84,35.993,27.25,320.35,54,2,67,17
10/7/2018,30.52,31.639,15.8,262.95,60,3,63,9.1
10/14/2018,32.66,28.57,20.65,239.5,87,7,56,22
10/21/2018,32.85,27.164,13.1,241,50,9,67,25
10/28/2018,32,30.677,20.15,300.725,71,6,116,14.8
11/4/2018,46.65,21.431,15.55,240.1,42.2,3,46,12.3
11/11/2018,39.99,19.789,34.55,255.85,70,5,93,8.9
11/18/2018,37.34,26.113,28,236.1,63,5,100,7.4
11/25/2018,43.33,29.494,23.4,201,54,6,67,11.3
12/2/2018,31.83,34.568,19.05,253.9,55,6,70,24.5
12/9/2018,23.49,21.509,15.7,222.6,60,0,56,9
12/16/2018,23.34,21.913,19.7,249.7,51,5,98,10.8
12/23/2018,37.68,17.239,13.8,240.6,53,9,58,9
12/30/2018,45.03,33.145,18.3,349.85,67,10,96,10.3
1/6/2019,41,31.263,23.55,289.65,51,2,54,11
1/13/2019,35.66,28.404,20.2,354.8,79.2,6,50,6
1/20/2019,51.19,52.069,27.95,384.05,69,3,121,13
1/27/2019,38.35,53.243,22.5,478.3,69,9,93,9
2/3/2019,52.18,53.571,30.65,348.562,64,5,131,13.7
2/10/2019,32.35,47.251,28.7,297.45,50,4,62,15.7
2/17/2019,35.01,36.772,31.8,249.912,78.4,0,35,16.6
2/24/2019,22.35,24.635,16.4,204,71,3,31,13.3
3/3/2019,26.68,18.414,20.85,187.8,49,6,57,23.9
3/10/2019,30.51,16.569,21.7,231.9,72,5,26,32.6
3/17/2019,43.51,22.953,20.2,251.45,66,5,88,32
3/24/2019,35.99,20.661,13.95,196.6,68.4,2,74,48
3/31/2019,31.17,43.774,20,172.9,69,4,53,49.5
4/7/2019,36.19,25.685,26.5,173.35,62,1,51,57.6
4/14/2019,30.33,28.165,14.5,125.5,72.4,4,42,40.5
4/21/2019,29.84,24.027,14.55,117.9,80,9,36,33.2
4/28/2019,57.7,14.514,21.95,181.3,67,6,62,36.4
5/5/2019,31.36,27.413,28.55,157.6,52,7,64,45.4
5/12/2019,36.35,19.968,22.2,149.1,79,8,123,24
5/19/2019,40,18.023,23.65,160,68,5,61.29166667,23.4
5/26/2019,42.17,28.925,24.35,194.4,49.8,5,65,34
6/2/2019,32.49,14.703,25,141.462,40,4,27,28
6/9/2019,37.67,16.537,28.8,157.6,52,7,45,28.1
6/16/2019,37.2,23.259,24.75,123.6,46,1,23,57
6/23/2019,35.66,27.388,20.5,148.5,49,10,32,35.94
6/30/2019,34.01,30.443,20.1,130.9,41,6,28,27
7/7/2019,34.65,20.777,19,132.05,47,1,17,28.8
7/14/2019,44,31.319,28.05,149.6,53.6,8,15,21
7/21/2019,47.33,18.649,17.45,149.2,55,2,15,28
7/28/2019,36.52,19.439,19.3,124.375,70,5,30,18.4
8/4/2019,44.01,23.3,21.3,156.45,54,11,48,19.7
8/11/2019,40.99,19.219,21.3,86.25,57,8,66,20
8/18/2019,45.18,19.109,13.55,125,53,2,35,23
8/25/2019,41.87,27.516,17.05,115.45,61,6,24,20.5
9/1/2019,30.36,16.842,25,117.4,45.2,4,15,27.1
9/8/2019,40.71,26.767,15.75,154.755,51,6,15,28.5
9/15/2019,35.51,30.977,19.65,178.375,67.2,5,30,30.5
9/22/2019,46.84,25.396,24.4,248.25,31.2,3,26,21
9/29/2019,34.01,22.498,26.6,336.7,61.2,1,40.41666667,23.1
10/6/2019,38.7,32.502,19.25,249.45,69,5,30,12.13
10/13/2019,7.67,6.237,3.5,95.1,26,2,12,1
